article_title,extracted_keyword,final_keyword
A lightweight and explainable CNN model for empowering plant disease diagnosis,plant disease recognition,
A lightweight and explainable CNN model for empowering plant disease diagnosis,deep learning,
A lightweight and explainable CNN model for empowering plant disease diagnosis,transfer learning,
A lightweight and explainable CNN model for empowering plant disease diagnosis,precision agriculture,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,rice leaf disease detection,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,lightweight deep learning,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,cross-species generalization,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,early lesion identification,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,precision agriculture,
A Multitask Learning-Based Vision Transformer for Plant Disease Localization and Classification,plant disease classification localization vision transformer multi-task learning,
Advanced neural network architectures for tomato leaf disease diagnosis in precision agriculture,hybrid model grad-cam lime techniques architectures vision transformer,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,precision agriculture,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,deep learning,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,iot integration,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,crop disease detection,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,edge computing,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,papaya leaf disease,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,leaf classification,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,deep learning,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,attention mechanism,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,papayanet,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,explainable ai,
Cassava disease detection using a lightweight modified soft attention network,cassava disease detection,
Cassava disease detection using a lightweight modified soft attention network,crop,
Cassava disease detection using a lightweight modified soft attention network,deep learning,
Cassava disease detection using a lightweight modified soft attention network,pest control,
Cassava disease detection using a lightweight modified soft attention network,modified attention,
Cassava disease detection using a lightweight modified soft attention network,lightweight network,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,corn leaf disease,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,deep learning,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,resnet152,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,grad-cam,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,explainable ai,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,agricultural sustainability,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,deep learning,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,disease detection,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,shapley additive explanations shap,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,pest classification,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,artificial intelligence,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,model explainability,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,sustainable development goals,
Evaluation of lightweight and efficient deep learning models for plant disease classification,classification,
Evaluation of lightweight and efficient deep learning models for plant disease classification,deep learning,
Evaluation of lightweight and efficient deep learning models for plant disease classification,lightweight models,
Evaluation of lightweight and efficient deep learning models for plant disease classification,plant disease identification,
Evaluation of lightweight and efficient deep learning models for plant disease classification,precision agriculture,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,hybrid models,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,feature selection,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,pest detection,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,beneficial insects,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,machine learning,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,agricultural informatics,
Integrating Visual and Environmental Modalities for Rice Leaf Diseases Classification and its Severity Prediction with Dual-Output CNN,rice leaf disease deep learning dual-output cnn environmental modalities severity detection precision agriculture,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,explainable ai,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,grad-cam,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,lime,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,citrus disease diagnosis,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,vision transformers,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,model interpretability,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,black gram leaf disease,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,feature extraction,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,transformer,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,convmixer,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,squeeze and excitation se,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,crop disease diagnosis,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,lightweight deep learning,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,feature refinement,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,deep learning,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,pomegranate fruit disease,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,particle swarm optimization,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,genetic algorithm,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,resnet101,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,computer vision,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,fruits and leaf disease,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,deep learning,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,pre-trained models,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,cbam,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,and optinet-b3,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,grad-cam,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,plants,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,deep neural networks,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,k-nearest neighbors,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,plant disease classificaiton,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,convolutional neural network,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,explainable ai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,agricultural monitoring,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,artificial intelligence,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,convnext,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,convolutional neural networks,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,crop safety,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,data augmentation,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,deep learning,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,explainable ai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,food safety,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,grad-cam,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,green ai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,lime,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,machine learning,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,multi-class classification,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,precision agriculture,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,resnet50,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,rice disease detection,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,smart agriculture,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,sustainable development,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,vision transformer,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,vit,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,xai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,zero hunger,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,agriculture,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,efficientnetb7,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,merged dataset,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,multi-head attention,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,plant disease classification,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,apple leaf disease detection,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,cnn,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,lime,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,smart agriculture,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,transfer learning,
Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,biological interpretability,
Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,convolutional neural networks,
Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,explainable ai,
Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,pest severity estimation,
Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,pest symptom detection,
Explainable Deep Learning and Edge Inference for Chilli Thrips Severity Classification in Strawberry Canopies,xai,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,bottle gourd disease classification,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,deep learning,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,ensemble learning,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,explainable ai,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,convolutional neural networks,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,transformer models,
A deep ensemble learning and explainable AI framework for accurate bottle gourd disease diagnosis and deployment,precision agriculture,
Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,canny,
Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,deep learning,
Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,edge detection,
Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,explainable ai,
Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,prewitt,
Exploring Deep Learning and Explainable AI for Precise Rice Leaf Disease Detection and Classification,rice leaf diseases,
Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,class imbalance,
Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,deep learning,
Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,explainable ai,
Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,generative adversarial networks,
Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,rice disease detection,
Enhancing multiclass plant disease classification using GAN-boosted vision transformer with XAI insights,vision transformer,
Beyond classification: Benchmarking object detection models for efficient tomato leaf disease identification on a real-world dataset,classification,
Beyond classification: Benchmarking object detection models for efficient tomato leaf disease identification on a real-world dataset,detection,
Beyond classification: Benchmarking object detection models for efficient tomato leaf disease identification on a real-world dataset,leaf detection,
Beyond classification: Benchmarking object detection models for efficient tomato leaf disease identification on a real-world dataset,edge computing,
Beyond classification: Benchmarking object detection models for efficient tomato leaf disease identification on a real-world dataset,leaf disease detection,
Optimizing Soursop leaf disease classification with a lightweight ensemble model and explainable AI,classification,
Optimizing Soursop leaf disease classification with a lightweight ensemble model and explainable AI,explainable artificial intelligence,
Optimizing Soursop leaf disease classification with a lightweight ensemble model and explainable AI,feature extraction,
Optimizing Soursop leaf disease classification with a lightweight ensemble model and explainable AI,feature selection,
Optimizing Soursop leaf disease classification with a lightweight ensemble model and explainable AI,soft voting ensemble,
Optimizing Soursop leaf disease classification with a lightweight ensemble model and explainable AI,soursop,
The Explainable AI for mango leaf disease detection: bridging the gap between model accuracy and farmers usability,cnn model,
The Explainable AI for mango leaf disease detection: bridging the gap between model accuracy and farmers usability,iot,
The Explainable AI for mango leaf disease detection: bridging the gap between model accuracy and farmers usability,mango leaf disease,
The Explainable AI for mango leaf disease detection: bridging the gap between model accuracy and farmers usability,monitoring,
The Explainable AI for mango leaf disease detection: bridging the gap between model accuracy and farmers usability,precision agriculture,
A transfer learning approach to classify insect diversity based on explainable AI,cnn,
A transfer learning approach to classify insect diversity based on explainable AI,crop protection,
A transfer learning approach to classify insect diversity based on explainable AI,explainable ai,
A transfer learning approach to classify insect diversity based on explainable AI,feature extraction,
A transfer learning approach to classify insect diversity based on explainable AI,grad-cam,
A transfer learning approach to classify insect diversity based on explainable AI,imagenet,
A transfer learning approach to classify insect diversity based on explainable AI,insect diversity monitoring,
A transfer learning approach to classify insect diversity based on explainable AI,mobilenetv2,
A transfer learning approach to classify insect diversity based on explainable AI,resnet152v2,
A transfer learning approach to classify insect diversity based on explainable AI,transfer learning,
A transfer learning approach to classify insect diversity based on explainable AI,xception,
COLD-12: A multi-level feature extraction hybrid CNN Model for accurate cotton disease diagnosis,cold-12,
COLD-12: A multi-level feature extraction hybrid CNN Model for accurate cotton disease diagnosis,deep-learning,
COLD-12: A multi-level feature extraction hybrid CNN Model for accurate cotton disease diagnosis,cnn,
COLD-12: A multi-level feature extraction hybrid CNN Model for accurate cotton disease diagnosis,plant diseases,
COLD-12: A multi-level feature extraction hybrid CNN Model for accurate cotton disease diagnosis,explainable ai,
COLD-12: A multi-level feature extraction hybrid CNN Model for accurate cotton disease diagnosis,and image processing,
Early Detection of Colletotrichum Kahawae Disease in Coffee Cherry Based on Computer Vision Techniques,computer vision,
Early Detection of Colletotrichum Kahawae Disease in Coffee Cherry Based on Computer Vision Techniques,coffee berry disease,
Early Detection of Colletotrichum Kahawae Disease in Coffee Cherry Based on Computer Vision Techniques,colletotrichum kahawae,
Early Detection of Colletotrichum Kahawae Disease in Coffee Cherry Based on Computer Vision Techniques,xg boost,
Early Detection of Colletotrichum Kahawae Disease in Coffee Cherry Based on Computer Vision Techniques,shapley additive explanations,
DBA-ViNet: an effective deep learning framework for fruit disease detection and classification using explainable AI,computer vision,
DBA-ViNet: an effective deep learning framework for fruit disease detection and classification using explainable AI,convnet models,
DBA-ViNet: an effective deep learning framework for fruit disease detection and classification using explainable AI,dba-vinet,
DBA-ViNet: an effective deep learning framework for fruit disease detection and classification using explainable AI,deep learning,
DBA-ViNet: an effective deep learning framework for fruit disease detection and classification using explainable AI,fruit disease classification,
Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,convolutional neural network cnn,
Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,deep learning,
Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,disease detection,
Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,local interpretable model-agnostic explanations lime,
Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,shapley additive explanations shap,
Enhanced Wheat Disease Detection Using Deep Learning and Explainable AI Techniques,wheat crop disease,
CSXAI: a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with explainable AI visualization,convolutional neural network cnn,
CSXAI: a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with explainable AI visualization,gradient-weighted class activation mapping grad-cam,
CSXAI: a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with explainable AI visualization,plant diseases,
CSXAI: a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with explainable AI visualization,pre-trained models,
CSXAI: a lightweight 2D CNN-SVM model for detection and classification of various crop diseases with explainable AI visualization,support vector machine svm,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,convolutional neural network,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,explainable ai,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,grad-cam,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,integrated gradients,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,lime,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,multi-label plant diseases,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,transfer learning,
Advancing Multi-Label Tomato Leaf Disease Identification Using Vision Transformer and EfficientNet with Explainable AI Techniques,vision transformers,
Towards deployable and explainable deep learning models for paddy leaf disease classification in R: A comparative study of CNN architectures with SHAP and LIME,convolutional neural networks cnn,
Towards deployable and explainable deep learning models for paddy leaf disease classification in R: A comparative study of CNN architectures with SHAP and LIME,deep learning,
Towards deployable and explainable deep learning models for paddy leaf disease classification in R: A comparative study of CNN architectures with SHAP and LIME,explainable ai xai,
Towards deployable and explainable deep learning models for paddy leaf disease classification in R: A comparative study of CNN architectures with SHAP and LIME,hyperparameter optimization,
Towards deployable and explainable deep learning models for paddy leaf disease classification in R: A comparative study of CNN architectures with SHAP and LIME,paddy leaf disease classification,
Towards deployable and explainable deep learning models for paddy leaf disease classification in R: A comparative study of CNN architectures with SHAP and LIME,precision agriculture,
Plant Disease Detection with Transfer Learning: Evaluating the Impact of Various Loss Functions and Explainable AI,convolutional neural networks cnns,
Plant Disease Detection with Transfer Learning: Evaluating the Impact of Various Loss Functions and Explainable AI,deep learning,
Plant Disease Detection with Transfer Learning: Evaluating the Impact of Various Loss Functions and Explainable AI,explainable artificial intelligence xai,
Plant Disease Detection with Transfer Learning: Evaluating the Impact of Various Loss Functions and Explainable AI,loss functions,
Plant Disease Detection with Transfer Learning: Evaluating the Impact of Various Loss Functions and Explainable AI,transfer learning,
Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,convolutional neural networks,
Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,deep learning,
Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,explainable ai,
Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,global context vision transformer,
Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,plant stress,
Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,thermal imaging,
Deep learning-based plant classification and crop disease classification by thermal camera,crop disease image,
Deep learning-based plant classification and crop disease classification by thermal camera,plant image classification,
Deep learning-based plant classification and crop disease classification by thermal camera,thermal image,
Deep learning-based plant classification and crop disease classification by thermal camera,convolutional neural network,
Deep learning-based plant classification and crop disease classification by thermal camera,explainable artificial intelligence,
Unveiling CNN-XAI approach in Mango health assessment,deep learning models,
Unveiling CNN-XAI approach in Mango health assessment,explainable ai,
Unveiling CNN-XAI approach in Mango health assessment,gradcam,
Unveiling CNN-XAI approach in Mango health assessment,lime,
Unveiling CNN-XAI approach in Mango health assessment,mango leaf diseases,
Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,deep learning,
Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,disease classification,
Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,interpretability,
Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,agricultural technology,
Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,resnet50v2,
Explainability in Orange Disease Detection through a Res-Inception Framework Integrating Deep Learning Techniques,inceptionv3,
An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Classification in Agriculture,deep learning,
An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Classification in Agriculture,explainable artificial intelligence,
An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Classification in Agriculture,fruit image classification,
An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Classification in Agriculture,lemon disease classification,
An Explainable Deep Learning Framework with Adaptive Feature Selection for Smart Lemon Disease Classification in Agriculture,plant diseases,
In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,disease detection,
In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,computer vision,
In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,convolutional neural networks,
In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,vision transformers,
In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,explainable artificial intelligence,
In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,digital agriculture,
Ensemble transfer learning meets explainable AI: A deep learning approach for leaf disease detection,ensemble learning,
Ensemble transfer learning meets explainable AI: A deep learning approach for leaf disease detection,explainable ai,
Ensemble transfer learning meets explainable AI: A deep learning approach for leaf disease detection,image augmentation,
Ensemble transfer learning meets explainable AI: A deep learning approach for leaf disease detection,leaf disease,
Ensemble transfer learning meets explainable AI: A deep learning approach for leaf disease detection,transfer learning,
Hybrid deep learning model for maize leaf disease classification with explainable AI,explainable ai,
Hybrid deep learning model for maize leaf disease classification with explainable AI,hybrid deep learning,
Hybrid deep learning model for maize leaf disease classification with explainable AI,maize leaf disease,
Hybrid deep learning model for maize leaf disease classification with explainable AI,mobilenetv2,
Hybrid deep learning model for maize leaf disease classification with explainable AI,vision transformer,
Improving the performance of machine learning algorithms for detection of individual pests and beneficial insects using feature selection techniques,feature screening,
Improving the performance of machine learning algorithms for detection of individual pests and beneficial insects using feature selection techniques,explainable artificial intelligence,
Improving the performance of machine learning algorithms for detection of individual pests and beneficial insects using feature selection techniques,targeted pest control,
Improving the performance of machine learning algorithms for detection of individual pests and beneficial insects using feature selection techniques,sustainable agriculture,
Hybrid augmentation for multi-channel deep learning in guava leaf disease detection,guava leaf disease classification,
Hybrid augmentation for multi-channel deep learning in guava leaf disease detection,ensemble deep learning,
Hybrid augmentation for multi-channel deep learning in guava leaf disease detection,gan-based augmentation,
Hybrid augmentation for multi-channel deep learning in guava leaf disease detection,explainable ai,
Hybrid augmentation for multi-channel deep learning in guava leaf disease detection,agricultural computer vision,
Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,insect detection,
Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,feature selection,
Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,explainable artificial intelligence,
Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,deep learning,
Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,agricultural monitoring,
Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,mobilenetv2,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,leaf disease,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,transfer learning,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,gradcam,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,saliency map,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,computer vision,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,sustainability,
Development of a cutting-edge ensemble pipeline for rapid and accurate diagnosis of plant leaf diseases,agriculture,
An Ensemble Learning Framework with Explainable AI for interpretable leaf disease detection,leaf diseases,
An Ensemble Learning Framework with Explainable AI for interpretable leaf disease detection,deep learning,
An Ensemble Learning Framework with Explainable AI for interpretable leaf disease detection,transfer learning,
An Ensemble Learning Framework with Explainable AI for interpretable leaf disease detection,convolutional neural networks cnns,
An Ensemble Learning Framework with Explainable AI for interpretable leaf disease detection,cucumber disease detection,
An Ensemble Learning Framework with Explainable AI for interpretable leaf disease detection,machine learning,
Deep learning models for enhanced in-field maize leaf disease diagnosis,maize,
Deep learning models for enhanced in-field maize leaf disease diagnosis,disease classification,
Deep learning models for enhanced in-field maize leaf disease diagnosis,disease detection,
Deep learning models for enhanced in-field maize leaf disease diagnosis,deep learning models,
Deep learning models for enhanced in-field maize leaf disease diagnosis,explainable ai,
Explainable transformer framework for fast cotton leaf diagnostics and fabric defect detection,plant biotechnology,
Explainable transformer framework for fast cotton leaf diagnostics and fabric defect detection,plant bioinformatics,
Explainable transformer framework for fast cotton leaf diagnostics and fabric defect detection,interaction of plants with organisms,
Explainable transformer framework for fast cotton leaf diagnostics and fabric defect detection,agricultural plant products,
An explainable deep learning model for mulberry leaf classification and disease detection,plant diseases,
An explainable deep learning model for mulberry leaf classification and disease detection,computer vision,
An explainable deep learning model for mulberry leaf classification and disease detection,deep learning,
An explainable deep learning model for mulberry leaf classification and disease detection,explainable artificial intelligence,
An explainable deep learning model for mulberry leaf classification and disease detection,agriculture,
An explainable deep learning model for mulberry leaf classification and disease detection,sericulture,
Fusing explainable deep learning ensembles and LLM recommendations for real-time plant leaf disease diagnosis,plant leaf,
Fusing explainable deep learning ensembles and LLM recommendations for real-time plant leaf disease diagnosis,identification,
Fusing explainable deep learning ensembles and LLM recommendations for real-time plant leaf disease diagnosis,deep learning,
Fusing explainable deep learning ensembles and LLM recommendations for real-time plant leaf disease diagnosis,llm,
Fusing explainable deep learning ensembles and LLM recommendations for real-time plant leaf disease diagnosis,xai,
RSD-YOLO: An improved YOLOv7-tiny framework for oat disease severity identification with integration of ReXNet and decoupled head,yolov7-tiny,
RSD-YOLO: An improved YOLOv7-tiny framework for oat disease severity identification with integration of ReXNet and decoupled head,oat crop diseases,
RSD-YOLO: An improved YOLOv7-tiny framework for oat disease severity identification with integration of ReXNet and decoupled head,oat disease severity identification,
RSD-YOLO: An improved YOLOv7-tiny framework for oat disease severity identification with integration of ReXNet and decoupled head,regularized xception-based network,
RSD-YOLO: An improved YOLOv7-tiny framework for oat disease severity identification with integration of ReXNet and decoupled head,decoupled head structure,
